,PRED_ABNORMAL_VIBRATION,PRED_COMBUSTION_INSTABILITY,PRED_COOLING_DEGRADATION,PRED_INJECTOR_ABNORMALITY,PRED_LUBRICATION_ISSUE,PRED_NORMAL,PRED_OVERHEATING_TREND,PRED_SENSOR_DRIFT
TRUE_ABNORMAL_VIBRATION,27,0,0,0,0,1,0,0
TRUE_COMBUSTION_INSTABILITY,15,0,0,1,8,33,8,0
TRUE_COOLING_DEGRADATION,4,0,34,0,0,9,10,1
TRUE_INJECTOR_ABNORMALITY,4,0,1,16,1,40,0,0
TRUE_LUBRICATION_ISSUE,0,0,0,0,63,5,0,0
TRUE_NORMAL,38,0,4,0,26,701,9,2
TRUE_OVERHEATING_TREND,1,0,0,0,1,1,30,0
TRUE_SENSOR_DRIFT,5,0,0,0,5,54,2,0
